,date,day,contest_number,word,results_count,hard_count,hard_rate,try_1,try_2,try_3,try_4,try_5,try_6,try_fail,success_rate,total,mean_tries,repeat_letters,rare_letters,vowels,freq_score,sd_tries,word_freq
0,2022-01-07,Friday,202,slump,80630,1362,0.0168919756914299,1,3,23,39,24,9,1,99,100,4.101010101010101,0,0,1,374,1.019951964554694,878659
1,2022-01-08,Saturday,203,crank,101503,1763,0.0173689447602533,1,5,23,31,24,14,2,98,100,4.163265306122449,0,0,1,477,1.1490357763476937,2185208
2,2022-01-09,Sunday,204,gorge,91477,1913,0.0209123604840561,1,3,13,27,30,22,4,96,100,4.541666666666667,1,0,2,545,1.135751097536584,1950264
3,2022-01-10,Monday,205,query,107134,2242,0.0209270633038997,1,4,16,30,30,17,2,98,100,4.377551020408164,0,2,2,438,1.1295231621916968,31284313
4,2022-01-11,Tuesday,206,drink,153880,3017,0.0196061866389394,1,9,35,34,16,5,1,100,101,3.7,0,0,1,403,1.03440804327886,29254937
5,2022-01-12,Wednesday,207,favor,137586,3073,0.0223351213059468,1,4,15,26,29,21,4,96,100,4.46875,0,0,2,477,1.1721874583444407,11867822
6,2022-01-13,Thursday,208,abbey,132726,3345,0.025202296460377,1,2,13,29,31,20,3,96,99,4.53125,1,1,2,454,1.089276566120836,4224864
7,2022-01-14,Friday,209,tangy,169484,3985,0.0235125439569516,1,4,21,30,24,15,5,95,100,4.231578947368421,0,1,1,478,1.1466439045175765,333638
8,2022-01-15,Saturday,210,panic,205880,4655,0.0226102584029531,1,9,35,34,16,5,1,100,101,3.7,0,0,2,472,1.03440804327886,6396440
9,2022-01-16,Sunday,211,solar,209609,4955,0.0236392521313493,1,9,32,32,18,7,1,99,100,3.787878787878788,0,0,2,615,1.0942709142586537,20423792
10,2022-01-17,Monday,212,shire,222197,5640,0.0253828809569886,1,8,32,32,18,8,2,99,101,3.828282828282828,0,0,2,565,1.101334397611233,2665081
11,2022-01-18,Tuesday,213,proxy,220950,6206,0.0280878026702873,1,2,11,24,31,26,6,95,101,4.684210526315789,0,2,1,389,1.1169804964111418,10773043
12,2022-01-19,Wednesday,214,point,280622,7094,0.0252795575542901,1,16,37,28,12,4,1,98,99,3.4693877551020407,0,0,2,504,1.061420703995579,175527859
13,2022-01-20,Thursday,215,robot,243964,6589,0.0270080831598104,1,8,29,34,20,8,1,100,101,3.88,1,0,2,550,1.0979981785048645,12656312
14,2022-01-21,Friday,216,prick,273727,7409,0.0270671143146273,1,8,30,33,19,7,1,98,99,3.836734693877551,0,0,1,397,1.0850926561680363,891337
15,2022-01-22,Saturday,217,wince,241489,6850,0.0283656812525622,1,3,17,33,29,15,3,98,101,4.336734693877551,0,0,2,465,1.087441084972483,717079
16,2022-01-23,Sunday,218,crimp,269929,7630,0.0282666923524334,1,5,28,38,20,7,1,99,100,3.9292929292929295,0,0,1,416,1.0274271608041545,640746
